Platform,Genre,NA_Sales,JP_Sales,Rating,Critic_Score_Class
7.0,2.0,1.4,0.03,6.0,2.0
9.0,0.0,1.08,0.26,4.0,2.0
7.0,10.0,2.14,0.0,1.0,1.0
9.0,8.0,0.99,0.16,6.0,2.0
10.0,7.0,0.37,1.75,6.0,1.0
8.0,10.0,2.12,0.0,1.0,2.0
4.0,4.0,1.7,0.21,1.0,1.0
15.0,7.0,1.76,0.03,4.0,2.0
10.0,4.0,0.64,0.01,2.0,2.0
4.0,7.0,1.21,0.7,1.0,1.0
15.0,10.0,2.21,0.0,1.0,2.0
12.0,0.0,1.49,0.0,2.0,1.0
15.0,10.0,2.1,0.0,1.0,2.0
2.0,3.0,0.26,0.33,1.0,1.0
7.0,6.0,1.13,0.06,6.0,2.0
12.0,10.0,1.11,0.29,1.0,3.0
15.0,7.0,2.29,0.0,6.0,2.0
7.0,2.0,1.81,0.0,4.0,1.0
12.0,3.0,1.47,0.0,1.0,3.0
4.0,3.0,1.13,0.92,1.0,0.0
15.0,6.0,1.38,0.0,1.0,2.0
15.0,3.0,1.93,0.0,6.0,2.0
8.0,10.0,1.73,0.05,1.0,2.0
8.0,0.0,0.86,0.18,4.0,2.0
8.0,8.0,1.15,0.1,4.0,2.0
9.0,10.0,1.47,0.01,1.0,2.0
8.0,6.0,1.56,0.05,6.0,2.0
6.0,7.0,0.93,1.34,6.0,2.0
12.0,0.0,1.28,0.0,2.0,1.0
7.0,9.0,1.07,0.0,6.0,2.0
16.0,10.0,2.09,0.0,1.0,2.0
15.0,8.0,1.56,0.02,4.0,2.0
10.0,6.0,0.87,0.0,2.0,1.0
7.0,2.0,1.63,0.51,6.0,0.0
8.0,10.0,0.29,0.54,1.0,1.0
7.0,6.0,2.07,0.0,1.0,2.0
7.0,6.0,0.69,0.04,2.0,0.0
15.0,8.0,1.44,0.04,4.0,2.0
8.0,10.0,2.05,0.0,1.0,2.0
9.0,10.0,1.57,0.02,1.0,2.0
7.0,3.0,1.67,0.03,6.0,2.0
0.0,0.0,1.16,0.47,2.0,2.0
9.0,0.0,0.63,0.07,4.0,1.0
15.0,0.0,1.48,0.0,4.0,1.0
5.0,8.0,2.28,0.08,4.0,2.0
7.0,0.0,0.96,0.04,6.0,0.0
15.0,10.0,1.74,0.0,1.0,3.0
15.0,10.0,2.18,0.0,1.0,2.0
7.0,10.0,1.25,0.01,6.0,2.0
16.0,10.0,1.98,0.0,2.0,2.0
8.0,10.0,2.03,0.0,1.0,2.0
15.0,6.0,1.69,0.01,6.0,2.0
15.0,3.0,1.73,0.02,2.0,1.0
5.0,0.0,0.97,0.0,6.0,2.0
